No.,Time,Source,Destination,Protocol,Length,Info
66,6.462247834,192.168.149.2,142.250.192.46,DNS,205,Standard query response 0x0e1d AAAA push.services.mozilla.com CNAME autopush.prod.mozaws.net SOA ns-1260.awsdns-29.org
67,6.465785102,142.250.192.46,192.168.149.2,DNS,85,Standard query 0x492a A push.services.mozilla.com
68,6.465859668,142.250.192.46,192.168.149.2,DNS,85,Standard query 0x1f2c AAAA push.services.mozilla.com
69,6.469459917,23.48.226.75,142.250.192.46,OCSP,981,Response
70,6.469479675,142.250.192.46,23.48.226.75,TCP,54,59610  >  80 [ACK] Seq=416 Ack=928 Win=63963 Len=0
71,6.471925094,142.250.192.46,34.117.237.239,TLSv1.3,118,"Change Cipher Spec, Application Data"
72,6.472135637,34.117.237.239,142.250.192.46,TCP,60,443  >  50890 [ACK] Seq=4575 Ack=582 Win=64240 Len=0
73,6.472317037,142.250.192.46,34.117.237.239,TLSv1.3,224,Application Data
74,6.472378425,142.250.192.46,34.117.237.239,TLSv1.3,287,Application Data
75,6.472402067,34.117.237.239,142.250.192.46,TCP,60,443  >  50890 [ACK] Seq=4575 Ack=752 Win=64240 Len=0
76,6.47245793,34.117.237.239,142.250.192.46,TCP,60,443  >  50890 [ACK] Seq=4575 Ack=985 Win=64240 Len=0
77,6.503175234,34.160.144.191,142.250.192.46,TLSv1.2,92,Application Data
78,6.503246774,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=820 Ack=4860 Win=62780 Len=0
79,6.504868316,34.160.144.191,142.250.192.46,TLSv1.2,359,Application Data
80,6.504896422,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=820 Ack=5165 Win=62780 Len=0
81,6.5124404,34.160.144.191,142.250.192.46,TLSv1.2,1514,Application Data
82,6.51248801,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=820 Ack=6625 Win=62780 Len=0
83,6.512440635,34.160.144.191,142.250.192.46,TLSv1.2,1418,Application Data
84,6.512634365,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=820 Ack=7989 Win=62780 Len=0
85,6.512440682,34.160.144.191,142.250.192.46,TLSv1.2,1466,Application Data
86,6.51271403,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=820 Ack=9401 Win=61368 Len=0
87,6.514721535,34.160.144.191,142.250.192.46,TLSv1.2,1291,Application Data
88,6.514762027,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=820 Ack=10638 Win=62780 Len=0
89,6.516486677,34.160.144.191,142.250.192.46,TLSv1.2,100,Application Data
90,6.516498969,142.250.192.46,34.160.144.191,TCP,54,60436  >  443 [ACK] Seq=820 Ack=10684 Win=62780 Len=0
91,6.516730044,142.250.192.46,34.160.144.191,TLSv1.2,100,Application Data
92,6.516981003,34.160.144.191,142.250.192.46,TCP,60,443  >  60436 [ACK] Seq=10684 Ack=866 Win=64240 Len=0
93,6.518850529,34.117.237.239,142.250.192.46,TLSv1.3,640,"Application Data, Application Data"
94,6.518863037,142.250.192.46,34.117.237.239,TCP,54,50890  >  443 [ACK] Seq=985 Ack=5161 Win=62780 Len=0
95,6.51885069,192.168.149.2,142.250.192.46,DNS,139,Standard query response 0x492a A push.services.mozilla.com CNAME autopush.prod.mozaws.net A 52.39.96.8
96,6.519450544,142.250.192.46,34.117.237.239,TLSv1.3,85,Application Data
97,6.519711658,34.117.237.239,142.250.192.46,TCP,60,443  >  50890 [ACK] Seq=5161 Ack=1016 Win=64240 Len=0
98,6.521936902,192.168.149.2,142.250.192.46,DNS,205,Standard query response 0x1f2c AAAA push.services.mozilla.com CNAME autopush.prod.mozaws.net SOA ns-1260.awsdns-29.org
99,6.522626951,142.250.192.46,52.39.96.8,TCP,74,51756  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2046444061 TSecr=0 WS=128
100,6.525167699,34.117.237.239,142.250.192.46,TLSv1.3,85,Application Data
101,6.525170746,52.39.96.8,142.250.192.46,TCP,60,"443  >  51756 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
102,6.525446243,142.250.192.46,52.39.96.8,TCP,54,51756  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
103,6.525170801,192.168.149.2,142.250.192.46,DNS,103,Standard query response 0xae05 A safebrowsing.googleapis.com A 172.217.167.42
104,6.531625843,142.250.192.46,52.39.96.8,TLSv1.2,571,Client Hello
105,6.532160281,52.39.96.8,142.250.192.46,TCP,60,443  >  51756 [ACK] Seq=1 Ack=518 Win=64240 Len=0
106,6.569563672,142.250.192.46,34.117.237.239,TCP,54,50890  >  443 [ACK] Seq=1016 Ack=5192 Win=62780 Len=0
107,6.595187006,192.168.149.2,142.250.192.46,DNS,115,Standard query response 0x5003 AAAA safebrowsing.googleapis.com AAAA 2404:6800:4002:80b::200a
108,6.595605155,142.250.192.46,172.217.167.42,TCP,74,52706  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2341999484 TSecr=0 WS=128
109,6.599373129,172.217.167.42,142.250.192.46,TCP,60,"443  >  52706 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
110,6.599430325,142.250.192.46,172.217.167.42,TCP,54,52706  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
111,6.603141947,142.250.192.46,172.217.167.42,TLSv1.3,571,Client Hello
112,6.60354066,172.217.167.42,142.250.192.46,TCP,60,443  >  52706 [ACK] Seq=1 Ack=518 Win=64240 Len=0
113,6.655204755,142.250.192.46,192.168.149.2,DNS,97,Standard query 0x05d8 A firefox.settings.services.mozilla.com
114,6.655281048,142.250.192.46,192.168.149.2,DNS,97,Standard query 0x2dde AAAA firefox.settings.services.mozilla.com
115,6.661277434,192.168.149.1,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 
116,6.709629501,192.168.149.2,142.250.192.46,DNS,181,Standard query response 0x2dde AAAA firefox.settings.services.mozilla.com SOA ns-1627.awsdns-11.co.uk
117,6.714183356,192.168.149.2,142.250.192.46,DNS,113,Standard query response 0x05d8 A firefox.settings.services.mozilla.com A 34.102.187.140
118,6.723474057,34.117.237.239,142.250.192.46,TLSv1.3,1300,"Application Data, Application Data, Application Data, Application Data"
119,6.723501619,142.250.192.46,34.117.237.239,TCP,54,50890  >  443 [ACK] Seq=1016 Ack=6438 Win=62780 Len=0
120,6.735992332,142.250.192.46,34.117.237.239,TLSv1.3,93,Application Data
121,6.73671227,34.117.237.239,142.250.192.46,TCP,60,443  >  50890 [ACK] Seq=6438 Ack=1055 Win=64240 Len=0
122,6.792432186,172.217.167.42,142.250.192.46,TLSv1.3,4354,"Server Hello, Change Cipher Spec"
123,6.792457382,142.250.192.46,172.217.167.42,TCP,54,52706  >  443 [ACK] Seq=518 Ack=4301 Win=61320 Len=0
124,6.792750867,142.250.192.46,34.102.187.140,QUIC,1399,"Initial, DCID=d63edd61404429e1, SCID=ada950, PKN: 0, CRYPTO"
125,6.797950468,142.250.192.46,34.102.187.140,TCP,74,48986  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=841072497 TSecr=0 WS=128
126,6.798099667,142.250.192.46,34.102.187.140,TCP,74,49000  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=841072497 TSecr=0 WS=128
127,6.799287485,172.217.167.42,142.250.192.46,TLSv1.3,434,Application Data
128,6.799301745,142.250.192.46,172.217.167.42,TCP,54,52706  >  443 [ACK] Seq=518 Ack=4681 Win=62780 Len=0
129,6.805517062,34.102.187.140,142.250.192.46,TCP,60,"443  >  48986 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
130,6.805554037,142.250.192.46,34.102.187.140,TCP,54,48986  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
131,6.805517714,34.102.187.140,142.250.192.46,TCP,60,"443  >  49000 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
132,6.805648202,142.250.192.46,34.102.187.140,TCP,54,49000  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0
133,6.831008953,142.250.192.46,34.102.187.140,TLSv1.3,571,Client Hello
134,6.831470248,34.102.187.140,142.250.192.46,TCP,60,443  >  49000 [ACK] Seq=1 Ack=518 Win=64240 Len=0
135,6.836366649,142.250.192.46,34.102.187.140,TLSv1.3,571,Client Hello
136,6.836592275,34.102.187.140,142.250.192.46,TCP,60,443  >  48986 [ACK] Seq=1 Ack=518 Win=64240 Len=0
137,6.864725802,34.102.187.140,142.250.192.46,QUIC,1399,"Handshake, DCID=ada950, SCID=d63edd61404429e1"
138,6.867095851,142.250.192.46,34.102.187.140,QUIC,129,"Handshake, DCID=d63edd61404429e1, SCID=ada950"
139,6.8675807,34.102.187.140,142.250.192.46,QUIC,1399,"Handshake, DCID=ada950, SCID=d63edd61404429e1"
140,6.86795196,142.250.192.46,34.102.187.140,QUIC,84,"Handshake, DCID=d63edd61404429e1, SCID=ada950"
141,6.875766654,34.102.187.140,142.250.192.46,QUIC,1204,"Protected Payload (KP0), DCID=ada950"
142,6.886270492,142.250.192.46,34.102.187.140,QUIC,85,"Handshake, DCID=d63edd61404429e1, SCID=ada950"
143,6.95422228,34.102.187.140,142.250.192.46,TLSv1.3,1434,"Server Hello, Change Cipher Spec"
144,6.954260469,142.250.192.46,34.102.187.140,TCP,54,49000  >  443 [ACK] Seq=518 Ack=1381 Win=63480 Len=0
145,6.955663721,34.102.187.140,142.250.192.46,TLSv1.3,2198,Application Data
146,6.955682689,142.250.192.46,34.102.187.140,TCP,54,49000  >  443 [ACK] Seq=518 Ack=3525 Win=61336 Len=0
147,6.967445454,34.102.187.140,142.250.192.46,TLSv1.3,1466,"Server Hello, Change Cipher Spec"
148,6.967490722,142.250.192.46,34.102.187.140,TCP,54,48986  >  443 [ACK] Seq=518 Ack=1413 Win=63540 Len=0
149,6.971981903,34.102.187.140,142.250.192.46,TLSv1.3,2166,Application Data
150,6.972000378,142.250.192.46,34.102.187.140,TCP,54,48986  >  443 [ACK] Seq=518 Ack=3525 Win=62780 Len=0
151,7.049573052,142.250.192.46,192.168.149.2,DNS,73,Standard query 0xe4dc A ocsp.pki.goog
152,7.049652611,142.250.192.46,192.168.149.2,DNS,73,Standard query 0xcad2 AAAA ocsp.pki.goog
153,7.065676873,142.250.192.46,192.168.149.2,DNS,77,Standard query 0xc4bb A ocsp.digicert.com
154,7.065733594,142.250.192.46,192.168.149.2,DNS,77,Standard query 0x00bf AAAA ocsp.digicert.com
155,7.089800261,52.39.96.8,142.250.192.46,TLSv1.2,1514,Server Hello
156,7.089879271,142.250.192.46,52.39.96.8,TCP,54,51756  >  443 [ACK] Seq=518 Ack=1461 Win=62780 Len=0
157,7.100893633,52.39.96.8,142.250.192.46,TLSv1.2,2100,"Certificate, Server Key Exchange, Server Hello Done"
158,7.100934916,142.250.192.46,52.39.96.8,TCP,54,51756  >  443 [ACK] Seq=518 Ack=3507 Win=62780 Len=0
159,7.115669449,142.250.192.46,52.39.96.8,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
160,7.115880695,52.39.96.8,142.250.192.46,TCP,60,443  >  51756 [ACK] Seq=3507 Ack=644 Win=64240 Len=0
161,7.116421738,142.250.192.46,34.102.187.140,QUIC,82,"Handshake, DCID=d63edd61404429e1, SCID=ada950"
162,7.116737719,142.250.192.46,34.102.187.140,QUIC,82,"Handshake, DCID=d63edd61404429e1, SCID=ada950"
163,7.121964053,192.168.149.2,142.250.192.46,DNS,125,Standard query response 0xc4bb A ocsp.digicert.com CNAME cs9.wac.phicdn.net A 117.18.237.29
164,7.136763151,192.168.149.2,142.250.192.46,DNS,124,Standard query response 0xe4dc A ocsp.pki.goog CNAME pki-goog.l.google.com A 142.250.194.67
165,7.137433209,192.168.149.2,142.250.192.46,DNS,174,Standard query response 0x00bf AAAA ocsp.digicert.com CNAME cs9.wac.phicdn.net SOA ns1.edgecastcdn.net
166,7.138999131,142.250.192.46,117.18.237.29,TCP,74,58088  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2430649145 TSecr=0 WS=128
167,7.139413834,142.250.192.46,117.18.237.29,TCP,74,58096  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2430649146 TSecr=0 WS=128
168,7.139672658,142.250.192.46,117.18.237.29,TCP,74,58098  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2430649146 TSecr=0 WS=128
169,7.143395726,117.18.237.29,142.250.192.46,TCP,60,"80  >  58088 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
170,7.143459687,142.250.192.46,117.18.237.29,TCP,54,58088  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
171,7.143396004,117.18.237.29,142.250.192.46,TCP,60,"80  >  58096 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
172,7.143510372,142.250.192.46,117.18.237.29,TCP,54,58096  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
173,7.143396085,117.18.237.29,142.250.192.46,TCP,60,"80  >  58098 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
174,7.143548798,142.250.192.46,117.18.237.29,TCP,54,58098  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
175,7.14396679,142.250.192.46,117.18.237.29,OCSP,470,Request
176,7.14421385,117.18.237.29,142.250.192.46,TCP,60,80  >  58088 [ACK] Seq=1 Ack=417 Win=64240 Len=0
177,7.144566423,142.250.192.46,117.18.237.29,OCSP,470,Request
178,7.144723264,117.18.237.29,142.250.192.46,TCP,60,80  >  58098 [ACK] Seq=1 Ack=417 Win=64240 Len=0
179,7.145216522,142.250.192.46,117.18.237.29,OCSP,470,Request
180,7.145394061,117.18.237.29,142.250.192.46,TCP,60,80  >  58096 [ACK] Seq=1 Ack=417 Win=64240 Len=0
181,7.201461699,34.102.187.140,142.250.192.46,QUIC,86,"Handshake, DCID=ada950, SCID=d63edd61404429e1"
182,7.219613433,142.250.192.46,117.18.237.29,TCP,74,58112  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2430649226 TSecr=0 WS=128
183,7.223840006,117.18.237.29,142.250.192.46,TCP,60,"80  >  58112 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
184,7.223886892,142.250.192.46,117.18.237.29,TCP,54,58112  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
185,7.224501781,142.250.192.46,117.18.237.29,OCSP,470,Request
186,7.224671114,117.18.237.29,142.250.192.46,TCP,60,80  >  58112 [ACK] Seq=1 Ack=417 Win=64240 Len=0
187,7.238840943,192.168.149.2,142.250.192.46,DNS,136,Standard query response 0xcad2 AAAA ocsp.pki.goog CNAME pki-goog.l.google.com AAAA 2404:6800:4002:820::2003
188,7.239744703,142.250.192.46,142.250.194.67,TCP,74,38634  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=589274309 TSecr=0 WS=128
189,7.242472284,142.250.194.67,142.250.192.46,TCP,60,"80  >  38634 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
190,7.242502227,142.250.192.46,142.250.194.67,TCP,54,38634  >  80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
191,7.2428731,142.250.192.46,142.250.194.67,OCSP,472,Request
192,7.243121964,142.250.194.67,142.250.192.46,TCP,60,80  >  38634 [ACK] Seq=1 Ack=419 Win=64240 Len=0
193,7.248066957,117.18.237.29,142.250.192.46,OCSP,915,Response
194,7.248101252,142.250.192.46,117.18.237.29,TCP,54,58098  >  80 [ACK] Seq=417 Ack=862 Win=63714 Len=0
195,7.258253975,117.18.237.29,142.250.192.46,OCSP,916,Response
196,7.258275609,142.250.192.46,117.18.237.29,TCP,54,58088  >  80 [ACK] Seq=417 Ack=863 Win=63788 Len=0
197,7.289129484,142.250.192.46,34.102.187.140,TLSv1.3,118,"Change Cipher Spec, Application Data"
198,7.289740429,34.102.187.140,142.250.192.46,TCP,60,443  >  48986 [ACK] Seq=3525 Ack=582 Win=64240 Len=0
199,7.2979645,142.250.192.46,34.102.187.140,TLSv1.3,224,Application Data
200,7.298108131,34.102.187.140,142.250.192.46,TCP,60,443  >  48986 [ACK] Seq=3525 Ack=752 Win=64240 Len=0
201,7.298492934,142.250.192.46,34.102.187.140,TLSv1.3,428,Application Data
202,7.29860134,34.102.187.140,142.250.192.46,TCP,60,443  >  48986 [ACK] Seq=3525 Ack=1126 Win=64240 Len=0
203,7.300844287,142.250.192.46,34.102.187.140,QUIC,152,"Protected Payload (KP0), DCID=d63edd61404429e1"
204,7.301021764,142.250.192.46,34.102.187.140,QUIC,108,"Protected Payload (KP0), DCID=d63edd61404429e1"
205,7.306600387,142.250.192.46,34.102.187.140,QUIC,347,"Protected Payload (KP0), DCID=d63edd61404429e1"
206,7.336697651,117.18.237.29,142.250.192.46,OCSP,916,Response
207,7.336719719,142.250.192.46,117.18.237.29,TCP,54,58112  >  80 [ACK] Seq=417 Ack=863 Win=63788 Len=0
208,7.345375851,142.250.192.46,192.168.149.2,DNS,95,Standard query 0xb514 A contile-images.services.mozilla.com
209,7.345455686,142.250.192.46,192.168.149.2,DNS,95,Standard query 0x5010 AAAA contile-images.services.mozilla.com
210,7.370756133,34.102.187.140,142.250.192.46,TLSv1.3,640,"Application Data, Application Data"
211,7.370780016,142.250.192.46,34.102.187.140,TCP,54,48986  >  443 [ACK] Seq=1126 Ack=4111 Win=62780 Len=0
212,7.371765021,142.250.192.46,34.102.187.140,TLSv1.3,85,Application Data
213,7.37213522,34.102.187.140,142.250.192.46,TCP,60,443  >  48986 [ACK] Seq=4111 Ack=1157 Win=64240 Len=0
214,7.372866308,34.102.187.140,142.250.192.46,QUIC,547,"Protected Payload (KP0), DCID=ada950"
215,7.372866468,34.102.187.140,142.250.192.46,QUIC,137,"Protected Payload (KP0), DCID=ada950"
216,7.373760003,142.250.192.46,34.102.187.140,QUIC,75,"Protected Payload (KP0), DCID=d63edd61404429e1"
217,7.384916191,34.102.187.140,142.250.192.46,TLSv1.3,85,Application Data
218,7.386805965,34.102.187.140,142.250.192.46,TLSv1.3,210,Application Data
219,7.386872249,142.250.192.46,34.102.187.140,TCP,54,48986  >  443 [ACK] Seq=1157 Ack=4298 Win=62780 Len=0
220,7.387099941,142.250.192.46,34.102.187.140,TLSv1.3,93,Application Data
221,7.3872576,34.102.187.140,142.250.192.46,TCP,60,443  >  48986 [ACK] Seq=4298 Ack=1196 Win=64240 Len=0
222,7.390791183,34.102.187.140,142.250.192.46,QUIC,72,"Protected Payload (KP0), DCID=ada950"
223,7.390791544,34.102.187.140,142.250.192.46,QUIC,700,"Protected Payload (KP0), DCID=ada950"
224,7.39179612,142.250.192.46,34.102.187.140,QUIC,79,"Protected Payload (KP0), DCID=d63edd61404429e1"
225,7.398145273,192.168.149.2,142.250.192.46,DNS,111,Standard query response 0xb514 A contile-images.services.mozilla.com A 34.120.115.102
